case,da5_2d,da5_3d,softavg_2d3d_tta,gated_v2b,gated_v2c,fusion_intersection_503_3d,fusion_union_v2_503_3d,fusion_union_v2_503_2d,fusion_union_v2_503_gated_v2c,fusion_union_v2_503_softavg_2d3d_tta,fusion_union_v2_503_gated_v2b
__GLOBAL_DICE__,0.765729958989895,0.79848425348865,0.724655057342959,0.780493233599371,0.782150848652095,0.797122952546311,0.832681077592191,0.864980876608963,0.881483077332269,0.867595794720763,0.871404475704058
__MEAN_DICE__,0.59236210246664,0.636964038461368,0.724655057342959,0.780493233599371,0.782150848652095,0.670461023099647,0.726822829214521,0.771206809564188,0.80322303196726,0.769194047885506,0.789004654209145
IOG1,0,0,0.123641107406871,0.123641107406871,0.142221584385763,0,0.280083711196373,0.0155605875863671,0.0174631268436578,0.0199205868497207,0.0199205868497207
IOG10,0.298756882829594,0.714293125041686,0.409336626113874,0.409336626113874,0.404161390780603,0,0.727093600009477,0.516050750441824,0.746201125147651,0.634983844622226,0.634983844622226
IOG11,0.887844221334508,0.870095238095238,0.880674747660967,0.880674747660967,0.909252300500044,0.920134441779413,0.933575098216984,0.91397960634297,0.934079157905873,0.934184247073606,0.934184247073606
IOG12,0.915403818431138,0.868789698548245,0.810326016923672,0.810326016923672,0.877217391304348,0.91246909033514,0.951611462648831,0.934951852229441,0.942647368092644,0.944362173763379,0.944362173763379
IOG14,0.943093346175455,0.919418129929843,0.935195933234599,0.935195933234599,0.937395192845165,0.940503917001906,0.949121046567808,0.942307692307692,0.947966220452115,0.948020806433763,0.948020806433763
IOG15,0.926302476042224,0.907865812864379,0.931861079652699,0.931861079652699,0.93036841609347,0.938465708864191,0.942081166377739,0.878599609995012,0.937430217498102,0.91077487391105,0.91077487391105
IOG16,0.892998857752359,0.88489683974319,0.919581507816802,0.919581507816802,0.92630730765129,0.930909674632992,0.931748638720977,0.913741530670451,0.922794842611075,0.92423450219703,0.92423450219703
IOG17,0.907974421291685,0.860049034733872,0.899924796759125,0.899924796759125,0.920891577808518,0.907565568258238,0.953198104753464,0.919579688094332,0.954969197251219,0.954970532004762,0.954970532004762
