case,dataset,spacing_z,spacing_y,spacing_x,img_min,img_max,img_p001,img_p005,img_p010,img_p050,img_p500,img_p950,img_p990,img_p995,img_p999,tumor_vox,slices_with_tumor,tumor_mean,tumor_std,tumor_p005,tumor_p500,tumor_p995,shell_mean_bg,shell_std_bg,snr_shell,brain_mean_bg,brain_std_bg,snr_brain,raw_mean_bg,raw_std_bg,snr_raw
IOG1,raw_T1,0.625,0.625,3.5999999046325684,0.0,2299.0,0.0,0.0,0.0,0.0,25.0,1134.0,1515.0,1632.0,1873.0,12945,63,833.66845703125,198.4674835205078,317.0,857.0,1244.0,591.2642211914062,330.1239929199219,0.7342823940053449,704.307373046875,537.5726318359375,0.24063926681419096,141.56129455566406,343.9656982421875,2.0121400651650756
IOG10,raw_T1,0.78125,0.78125,5.600000381469727,0.0,1300.0,0.0,0.0,0.0,0.0,174.0,631.0,736.0,783.0,901.0,68854,97,536.579345703125,63.338768005371094,110.0,549.0,615.0,444.3824462890625,125.99364471435547,0.7317583329150075,380.3911437988281,191.55674743652344,0.8153625700710609,231.9832000732422,236.84300231933594,1.286067743809442
IOG11,raw_T1,0.5625,0.5625,4.025000095367432,0.0,2069.0,0.0,0.0,3.0,8.0,205.0,1108.0,1341.0,1410.0,1555.0,65776,88,1144.2069091796875,126.76526641845703,579.875,1153.0,1378.0,639.1097412109375,350.009033203125,1.4430975205020518,437.64849853515625,337.66558837890625,2.092479763888992,299.5531311035156,339.8669738769531,2.485248179430267
IOG12,raw_T1,0.9151785969734192,0.9151785969734192,5.199999809265137,0.0,2624.0,0.0,0.0,0.0,1.0,27.0,800.0,1276.0,1448.0,1827.0,204489,100,754.2877807617188,307.7727966308594,328.0,657.0,1649.0,564.304443359375,389.6466369628906,0.4875785375261367,391.1431884765625,292.1297302246094,1.2430935803964416,186.40298461914062,274.3542785644531,2.0698958992511827
IOG14,raw_T1,0.9375,0.9375,3.9000000953674316,0.0,2433.0,0.0,0.0,0.0,3.0,13.0,696.0,1174.0,1362.0,1738.2010000012815,12462,57,458.5286560058594,45.886592864990234,220.305,460.0,572.6949999999997,208.4273223876953,115.04200744628906,2.1740000819694636,370.86248779296875,302.6265563964844,0.28968432003051087,146.0008544921875,255.73681640625,1.2220680850941958
IOG15,raw_T1,0.76171875,0.76171875,4.550000190734863,0.0,2871.0,0.0,0.0,0.0,1.0,283.0,1447.0,1737.0,1851.0,2130.0,10162,54,1357.0142822265625,173.51451110839844,647.635,1376.0,1754.5599999999977,697.8209838867188,360.0603942871094,1.8307853593422667,684.8301391601562,465.40032958984375,1.4443138526756107,430.6896667480469,491.3443908691406,1.8852858253656608
IOG16,raw_T1,1.0044642686843872,1.0044642686843872,5.400000095367432,0.0,2745.0,0.0,0.0,0.0,0.0,17.0,1008.0,1524.0,1719.0,2075.0,132669,95,557.375,168.3482208251953,222.0,535.0,1104.0,572.8779907226562,311.1360168457031,-0.049827052746337655,520.2855224609375,370.6116638183594,0.10007639035678174,248.74520874023438,361.2122497558594,0.8544278093236488
IOG17,raw_T1,0.3125,0.3125,5.0,0.0,2486.50439453125,0.0,0.0,0.0,0.0,533.7999877929688,1701.772705078125,1829.5196533203125,1866.018798828125,1957.2667236328125,99850,110,1674.6231689453125,207.1553192138672,656.984619140625,1733.70947265625,1925.3299560546875,1136.6378173828125,532.2364501953125,1.0108014048362863,842.5114135742188,524.8829345703125,1.5853282714407346,602.8102416992188,582.40185546875,1.8403322674572147
IOG18,raw_T1,0.5625,0.5625,4.375,0.0,2474.0,0.0,0.0,3.0,8.0,36.0,1065.0,1314.0,1425.0,1617.0,115931,147,916.7314453125,151.91676330566406,481.0,930.0,1239.0,516.37060546875,298.5065002441406,1.3412131377919925,499.2731628417969,386.26226806640625,1.0807638151157277,224.39883422851562,345.44061279296875,2.004201548527581
IOG19,raw_T1,0.625,0.625,5.0,0.0,748.0,0.0,0.0,0.0,0.0,6.0,135.0,180.0,207.0,358.0010000001639,41522,83,148.74623107910156,17.3682861328125,69.0,152.0,179.0,55.760284423828125,34.55979537963867,2.690581516291536,60.901222229003906,47.73423767089844,1.8402935321967668,29.0416259765625,43.26308822631836,2.766899220793924
IOG2,raw_T1,0.78125,0.78125,5.0,0.0,2948.417236328125,0.0,0.0,0.0,0.0,424.60382080078125,1561.5103759765625,1845.240966796875,1928.5743408203125,2154.76513671875,25996,58,1532.1883544921875,91.501220703125,1071.43017578125,1547.6214599609375,1698.415283203125,790.7468872070312,371.62017822265625,1.9951593340039828,727.9984741210938,455.4351501464844,1.7657615581766961,503.5029296875,503.3169860839844,2.0438122559866065
IOG20,raw_T1,0.59375,0.59375,4.800000190734863,0.0,1832.0,0.0,0.0,1.0,7.0,251.0,971.0,1177.0,1245.0,1384.0,34626,67,776.3983154296875,86.08130645751953,463.0,787.0,961.0,495.0151672363281,247.52549743652344,1.1367844973850363,512.689208984375,323.8410949707031,0.8143163747305432,338.49267578125,352.4449768066406,1.242479446341159
IOG21,raw_T1,0.9151785969734192,0.9151785969734192,6.25,0.0,3100.0,0.0,0.0,0.0,0.0,17.0,899.0,1450.0,1672.0,2145.0,31567,82,338.7502136230469,75.66212463378906,176.0,333.0,547.0,250.05810546875,111.53361511230469,0.7952051770669462,443.24249267578125,350.500732421875,-0.29812285506714375,215.67791748046875,325.9698791503906,0.37755726530118155
IOG22,raw_T1,0.4882810115814209,0.4882810115814209,5.5,0.0,5041.87158203125,0.0,0.0,0.0,0.0,39.834197998046875,3482.647216796875,4102.92236328125,4199.66259765625,4398.83349609375,222245,186,3809.342041015625,395.4761657714844,1974.63818359375,3903.75146484375,4415.90576171875,1610.0140380859375,968.6203002929688,2.270578060633748,1667.7530517578125,1198.2037353515625,1.7873329268410711,407.23394775390625,901.0206909179688,3.7758379219855844
